Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
Cortow,30.160177,3.330191,4.517347,43.657041,27.495004,38.253992,0.588611,-6.591161,16.162037,21.785735
Cortow,25.164275,3.695679,5.37713,43.82688,21.739515,25.990688,3.422482,-4.92263,22.087364,81.734167
Cortow,24.457932,3.229357,6.468707,43.656997,20.760764,41.344451,3.389916,-5.484786,22.896233,7.324969
Cortow,28.753249,3.170732,6.675561,44.252502,20.919916,37.34748,2.808854,-3.422729,23.332586,25.958954
Cortow,29.743278,7.051673,2.145262,41.60387,23.714351,37.549712,0.396825,-14.24919,17.889519,16.275638
Cortow,29.761233,6.940329,2.246022,41.401797,23.809554,36.14531,0.303003,-9.546431,17.592244,29.534594
Cortow,29.566551,7.428475,1.999189,41.171998,23.117957,37.048293,0.668104,-13.882865,18.05404,17.547493
Cortow,29.308273,6.859649,2.27439,40.237679,23.283717,38.393916,0.229608,-8.701992,16.953962,9.702592
Cortow,28.52067,6.866905,2.155541,39.71919,22.810842,34.965195,0.307365,-8.85356,16.908348,28.221339
Cortow,24.671661,8.929593,2.355565,44.42356,20.548466,29.998888,1.538428,-21.641521,23.875095,63.30621
Cortow,30.428949,7.931119,2.063724,41.949936,22.281151,39.297173,0.972683,-14.298401,19.668785,9.872729
Cortow,23.123403,11.241851,1.624741,40.224246,20.456071,29.465368,0.775255,-12.716346,19.768174,61.015795
Cortow,27.838652,10.010946,1.549983,40.740005,22.137925,28.470767,0.721213,-10.072188,18.602079,76.863444
Cortow,26.326461,9.036374,1.953821,39.154148,18.75854,33.512082,0.340002,-8.845944,20.395608,33.756412
Cortow,26.256512,9.039761,1.967436,39.253902,18.694614,33.010529,0.359446,-9.151991,20.559288,36.736346
Cortow,27.635006,9.662852,1.488013,38.679963,21.660709,29.335168,0.481914,-10.16807,17.019254,65.050301
Cortow,27.602846,11.302102,1.497729,40.97824,21.086641,29.214335,0.130377,-12.658239,19.891599,68.910875
Cortow,28.367198,10.462544,1.690961,41.62723,21.353173,30.864498,0.165687,-10.722767,20.274057,61.895039
Cortow,29.876284,7.044836,1.931254,40.392766,25.936733,38.469108,0.18693,-5.534952,14.456034,17.189758
Cortow,30.340125,6.79198,1.791762,40.439449,26.895762,35.715271,0.152427,-7.511894,13.543687,40.51745
Cortow,31.402981,8.238595,1.823374,43.13652,25.156915,41.278095,0.811377,-17.386849,17.979605,6.063744
Cortow,30.74189,7.179448,1.688566,42.322392,29.589956,41.403072,1.061848,-12.530075,12.732436,4.347998
Cortow,29.337943,8.70151,1.741795,41.63559,24.439093,39.505149,1.0022,-17.358489,17.196497,7.485419
Cortow,30.647256,7.097639,1.785034,40.989723,27.414949,38.60765,0.130455,-8.835018,13.574775,17.432839
Cortow,28.995464,6.610412,1.968093,38.283097,24.564427,29.727637,0.38588,-5.626406,13.71867,67.339653
Cortow,18.378593,12.103515,2.176361,39.042319,14.909837,19.42427,0.966406,-15.606836,24.132482,76.283198
Cortow,18.194742,10.552268,1.705014,34.739749,18.129765,19.906063,1.131975,-15.21039,16.609984,73.304415
Cortow,17.30533,11.25822,2.202819,38.821541,17.303356,17.893876,1.313255,-11.890453,21.518185,85.832047
Cortow,18.947373,11.341379,1.810127,37.32364,18.502934,32.878494,0.88935,-13.390491,18.820707,20.288096
Cortow,15.976391,10.35531,2.19037,37.259499,15.133099,18.931592,1.272096,-14.127763,22.1264,78.443729
Cortow,16.67465,11.005073,2.419967,40.025528,16.672337,18.756949,1.648339,-14.679166,23.353191,75.90294
Cortow,18.841831,11.944119,1.878683,37.516031,17.028575,36.656064,0.813206,-6.852495,20.487457,6.825783
Cortow,25.71259,7.329115,2.479665,44.474427,24.831151,42.53883,1.669079,-15.161942,19.643275,5.210398
Cortow,31.723048,7.625695,2.203988,44.066749,25.483226,41.255428,0.938932,-15.103746,18.583523,9.118801
Cortow,30.96734,7.148948,2.253923,42.664635,23.626125,40.487507,0.336678,-9.749719,19.03851,10.623696
Cortow,30.839314,7.420348,2.102473,42.608217,24.401968,40.03314,0.347295,-8.793093,18.206249,14.854295
Cortow,30.76434,7.655578,2.106574,42.377878,23.00456,40.825971,0.297267,-9.6586,19.373318,7.864832
Cortow,31.571208,7.690224,2.200831,44.213805,25.334621,40.816227,0.881008,-16.041811,18.879184,10.87544
Cortow,28.767977,7.530598,2.199029,41.720171,23.057861,38.435517,0.430311,-7.119876,18.66231,21.72221
Cortow,32.761315,9.301501,1.60623,44.197675,27.75028,34.118996,0.509379,-7.760005,16.447394,68.748255
Cortow,35.297877,7.352201,1.945443,47.619203,31.509655,41.146783,0.171262,-7.578366,16.109548,46.245914
Cortow,34.431632,8.949429,1.867876,46.935781,28.605195,42.212872,0.463673,-8.155764,18.330586,30.550432
Cortow,34.431632,8.949429,1.867876,46.935781,28.605195,42.212872,0.463673,-8.155764,18.330586,30.550432
Cortow,33.829268,9.525935,1.780762,47.735775,29.35208,42.239272,0.545921,-9.151058,18.383695,34.919658
Cortow,35.021598,8.096411,2.009279,47.763956,30.266641,35.388154,0.463863,-7.759584,17.497314,75.845727
Cortow,35.359568,8.696221,1.771631,47.488097,30.591498,42.996002,0.445867,-8.49459,16.896599,31.072156
Cortow,29.369649,9.178334,1.67328,41.042023,23.359557,39.507224,0.093211,-8.387811,17.682466,11.056052
Cortow,29.333246,9.621889,1.591993,41.426976,24.106593,30.672598,0.094279,-10.439961,17.320383,70.389501
Cortow,28.526056,8.526438,1.63004,39.683095,24.372289,35.135916,0.075169,-8.73946,15.310807,31.551485
Cortow,28.542362,8.699933,1.575622,39.643931,24.077203,36.631789,0.057101,-8.83267,15.566728,21.476806
Cortow,29.805141,9.310111,1.780845,41.95318,23.051187,38.521879,0.369882,-11.834843,18.901994,17.664742
Cortow,28.640844,8.432881,1.611529,39.605591,24.664632,35.10637,0.074713,-9.442861,14.94096,30.254374
Cortow,28.650338,8.790768,1.62332,39.951048,24.764107,37.033206,0.056675,-9.247788,15.186942,19.31623
Cortow,28.899851,8.42835,1.997776,41.386218,23.785407,30.313204,0.351933,-9.690763,17.600811,65.48454
Cortow,29.516902,7.71149,2.014589,41.041794,24.153254,34.612452,0.35188,-8.961224,16.888539,40.967935
Cortow,26.387418,8.135723,1.963434,40.257342,23.77666,37.784142,0.697797,-6.051475,16.480681,19.541717
Cortow,30.225045,6.47842,2.492013,43.270721,26.39239,39.769078,1.313125,-17.9252,16.878331,8.926935
Cortow,26.21953,7.637197,1.942649,39.546555,23.719716,31.408856,0.691954,-7.363636,15.826839,56.491414
Cortow,29.45331,6.465194,2.436772,42.06501,24.744013,39.850352,1.183344,-15.590181,17.320997,6.073045
Cortow,30.583186,7.024278,1.97588,43.485091,29.607714,39.085896,1.129135,-17.612949,13.877377,14.855376
Cortow,29.115074,7.194714,1.881256,40.788152,25.877492,38.65424,0.134584,-5.03496,14.91066,20.441257
Cortow,29.157958,6.900188,1.80787,39.668238,25.745062,36.527578,0.114255,-6.548533,13.923175,26.364197
Cortow,28.352762,7.091667,1.869712,40.18734,25.136081,34.898671,0.133042,-7.127795,15.051259,41.364241
Cortow,28.513474,7.265437,1.62213,38.460437,24.831131,35.798307,0.0,-6.274433,13.629306,24.28052
Cortow,28.558603,5.833607,2.437373,40.099285,24.483864,37.054715,0.490677,-3.814508,15.615421,27.060926
Cortow,28.104973,6.722458,1.661439,38.116807,25.781219,36.56415,0.561882,-6.040336,12.335588,15.738285
Cortow,27.402061,10.008421,1.497896,40.692426,25.405842,36.89404,0.822196,-13.407942,15.286584,20.131977
Cortow,28.583927,8.361839,1.225913,37.857408,27.515731,36.192149,0.657921,-10.084368,10.341677,13.929843
Cortow,26.368419,8.448687,1.208781,36.67863,25.806078,29.738046,0.431162,-14.897123,10.872552,65.339042
Cortow,27.153692,10.462569,1.346625,39.267203,24.559431,36.873581,0.799168,-11.981265,14.707772,15.344804
Cortow,26.761387,8.353557,1.233404,36.875742,25.960309,27.782226,0.271712,-10.654292,10.915432,84.26471
Cortow,27.073889,10.177983,1.146778,37.35466,26.146792,28.274163,0.074662,-19.179107,11.207867,69.074876
Cortow,29.991757,6.566878,2.74398,43.023061,22.346725,39.993603,1.399122,-14.184559,20.676336,8.881373
Cortow,30.332864,5.323083,2.58745,44.541067,25.897441,38.887553,0.444762,-9.426125,18.643626,45.758663
Cortow,29.865741,8.683628,1.716878,42.098955,25.249506,31.298437,0.112487,-8.741776,16.849449,72.700623
Cortow,29.201932,7.860678,1.97597,38.929436,23.967872,30.384019,0.449773,-0.964972,15.669376,73.66529
Cortow,29.144105,7.861646,1.949588,39.096401,24.192314,30.331437,0.472237,-0.949019,15.467399,74.451769
Cortow,27.165162,6.831845,2.270474,42.882895,25.686131,39.89008,1.642743,-14.219683,17.196764,10.589585
Cortow,31.820806,11.345377,1.691811,49.349548,31.056455,42.106924,0.483986,-11.390444,18.293093,40.103016
Cortow,31.057458,7.47888,1.507339,44.596373,28.820966,43.540825,-0.02091,-9.507966,15.775408,7.445408
Cortow,32.650466,11.075255,1.599907,49.60453,31.829623,43.252488,0.706505,-9.736631,17.774907,38.246002
Cortow,34.501725,9.709025,1.683747,47.73503,29.676686,44.35068,0.074656,-9.282854,18.058344,21.944033
Cortow,31.371796,13.077651,1.3485,47.734613,31.28654,32.994089,0.267981,-13.948209,16.448073,78.708046
Cortow,30.973221,8.582746,2.339931,50.097275,30.105627,34.799643,0.870087,-11.88514,19.991648,75.509751
Cortow,27.818835,4.089175,2.741498,35.859276,24.769012,34.318671,0.843161,-2.261285,11.090263,21.301364
Cortow,26.291004,4.091437,2.753956,36.344788,25.275458,33.120736,0.974202,-2.045037,11.06933,37.979122
Cortow,25.658896,4.751472,2.957646,36.540028,25.656636,34.138445,1.143848,-1.889802,10.883391,27.231097
Cortow,26.753956,4.276152,2.697962,34.658164,23.085786,32.983945,1.055003,-3.417838,11.572378,17.842908
Cortow,27.659252,3.996606,2.018917,35.021619,27.606957,33.883339,0.816736,-3.901336,7.414662,17.409686
Cortow,24.073628,3.781493,3.11224,34.120224,22.527999,32.371371,1.318646,-2.839152,11.592226,22.351901
Cortow,30.083193,6.965043,1.944749,41.228662,27.116799,39.804572,1.241473,-3.197395,14.111863,16.033442
Cortow,32.268857,8.047292,1.824663,43.137576,27.325396,36.00872,0.872754,-8.970602,15.81218,48.773586
Cortow,32.826559,7.34511,1.856446,42.983215,28.031125,40.930885,0.909063,-11.429028,14.95209,9.981542
Eptfus,31.744912,5.907106,4.536812,55.681087,28.81495,41.585742,0.73469,-11.287725,26.866137,28.130932
Eptfus,27.372374,2.3306,7.079973,45.217271,27.364216,30.874998,3.229192,-5.0795960000000004,17.853055,51.561506
Eptfus,30.107067,3.881536,5.445499,47.717949,27.273573,36.574915,0.917611,-7.725569,20.444376,30.450787
Eptfus,29.240986,3.420908,6.847388,56.522428,29.033564,35.97334,1.733957,-13.185189,27.488864,37.460331
Eptfus,30.43155,4.49269,5.458147,56.350585,29.115691,38.362818,0.995831,-13.223915,27.234894,31.994314
Eptfus,25.715009,2.218795,11.459353,46.407944,24.767723,29.390363,3.743771,-7.776953,21.640221,35.36208
Eptfus,28.085978,2.83088,8.296435,49.289001,27.040441,36.732587,1.205365,-7.048162,22.24856,28.233532
Eptfus,31.087102,5.571436,6.649735,64.922366,29.561533,39.924139,1.150597,-12.290399,35.360833,39.409263
Eptfus,29.378104,4.015429,6.860215,57.453514,27.893458,38.304184,2.716505,-11.607271,29.560056,33.621401
Eptfus,28.615488,3.441526,8.238579,54.934522,27.454561,37.338521,0.403833,-9.859649,27.479961,34.002279
Eptfus,28.48923,4.153597,6.348019,54.892341,27.469945,37.522912,0.778668,-5.858387,27.422396,36.644733
Eptfus,32.327555,6.407188,4.340259,59.854442,30.964289,43.422823,0.829837,-13.221663,28.890153,36.600027
Eptfus,28.02033,4.965433,6.634913,59.077359,25.661369,38.689973,1.461484,-12.600859,33.41599,31.82185
Eptfus,29.86426,5.098289,5.068353,54.408267,27.629547,39.740724,0.459485,-10.314051,26.77872,31.225476
Eptfus,40.336035,10.32842,5.495968,84.461407,34.306839,54.152884,1.096326,-10.324036,50.154568,37.786181
Eptfus,28.604584,3.360364,8.26697,58.391412,26.797412,36.431925,1.936396,-12.746911,31.594,41.340894
Eptfus,28.116632,2.897406,8.789737,54.794044,26.468044,36.710683,2.876161,-12.948251,28.326,25.869721
Eptfus,27.649129,3.184696,6.669255,47.118969,24.866564,32.491213,2.478791,-8.677259,22.252405,37.663256
Eptfus,26.11383,3.278072,7.139755,48.216037,24.244075,33.302229,2.223062,-8.979684,23.971962,34.930944
Eptfus,28.763635,5.150442,7.106652,57.927505,25.467862,39.874547,1.385095,-5.684202,32.459644,36.379722
Eptfus,29.473354,3.357541,5.920202,48.756811,28.357921,36.160705,1.468127,-8.263922,20.39889,34.171947
Eptfus,27.585447,4.03221,5.826852,53.833761,27.559538,37.138345,1.947419,-9.209088,26.274223,33.129682
Eptfus,28.912177,3.322912,6.714838,51.610528,26.991989,33.613417,2.405779,-14.353245,24.618539,42.453403
