Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
EPTFUS,27.516,53.75,4.541,41.701,27.459,28.76,3.309,375.26,14.242,24.81832195551641
EPTFUS,34.857,18.99,4.602,40.657,34.251999999999995,35.74,2.773,206.21,6.405000000000001,24.684919600173828
EPTFUS,27.323,23.14,6.176,32.603,26.748,28.197,3.868,86.9,5.855,26.45725388601037
EPTFUS,25.911,7.2,6.812,30.309,24.873,26.298,3.843,91.48,5.436,23.987081620669407
EPTFUS,27.185,22.36,6.78,32.593,26.724,28.201,4.14,127.03,5.869000000000002,29.05604719764013
EPTFUS,29.919,18.92,6.0520000000000005,33.716,28.824,30.816,2.855,123.61,4.892,32.93126239259748
EPTFUS,28.091,24.85,5.983,35.463,27.757,28.989,3.637,181.35,7.706000000000002,32.675915092762835
EPTFUS,27.103,10.65,5.091,31.348000000000006,26.251,27.504,2.924,48.91,5.097000000000005,20.15321154979376
EPTFUS,28.72,16.69,3.893,32.355,28.152,29.193,2.383,184.19,4.2029999999999985,24.967891086565622
EPTFUS,28.899,30.06,5.323,34.319,28.299,29.545,3.6010000000000004,150.0,6.020000000000002,19.143340221679498
EPTFUS,26.686,21.44,7.024,33.675,26.238000000000003,27.263,5.087,193.99,7.436999999999994,18.892369020501143
EPTFUS,36.785,56.4,3.138,43.822,34.689,38.896,1.355,250.67,9.132999999999996,34.38495857233907
EPTFUS,30.118,26.28,4.6160000000000005,35.423,29.721,30.859,3.215,162.2,5.702000000000003,24.74003466204507
EPTFUS,26.829,19.61,7.568,32.072,26.08,27.817,3.978,160.58,5.991999999999997,31.382135306553906
EPTFUS,36.825,46.98,2.984,40.691,32.83,38.175,0.943,158.21,7.861000000000003,38.30428954423592
EPTFUS,29.339,27.18,3.926,34.189,28.907,30.049,2.537,105.11,5.2820000000000045,26.77024961793174
EPTFUS,27.041,18.65,8.472000000000001,34.093,26.631,27.766,5.728,177.12,7.462000000000002,20.90415486307837
EPTFUS,27.136,21.16,7.54,32.812,26.279,27.902,4.626,99.56,6.532999999999998,21.16710875331565
EPTFUS,27.586,22.72,4.225,31.694000000000006,27.068,28.399,2.224,133.1,4.626000000000001,32.44970414201184
EPTFUS,35.125,49.02,4.016,41.618,33.854,36.843,2.208,172.86,7.764000000000002,30.378486055776893
EPTFUS,25.657,20.04,7.2029999999999985,32.339,25.007,26.183000000000003,4.809,170.94,7.332000000000002,17.576009995835072
EPTFUS,27.11,15.05,4.263,30.663,26.502,27.721,2.252,83.43,4.161000000000001,27.609664555477373
EPTFUS,29.153,43.02,3.917,33.619,28.86,29.919,2.603,162.55,4.7589999999999995,23.10441664539188
EPTFUS,27.745,29.59,5.489,32.943000000000005,27.204,28.539,3.463,137.65,5.739000000000003,23.95700491892877
EPTFUS,28.438,24.55,5.279,33.573,27.925,29.242,3.309,127.9,5.648,26.614889183557487
EPTFUS,31.747,30.47,4.089,36.448,30.801,32.739000000000004,2.28,132.46,5.647000000000002,29.713866471019816
EPTFUS,28.565,27.74,6.785,35.062,27.658,29.496,4.537,154.26,7.403999999999996,20.736919675755342
EPTFUS,27.104,23.08,6.574,32.648,26.462,27.99,3.705,142.03,6.186000000000004,30.25555217523577
EPTFUS,29.385,13.99,5.049,33.931999999999995,28.961,29.893,3.283,181.7,4.9709999999999965,27.530204000792235
EPTFUS,29.707,24.25,5.096,35.894,29.201,30.424,3.1,81.7,6.692999999999998,25.215855572998425
EPTFUS,29.266,35.95,3.686,33.37,28.135,30.023000000000003,1.877,229.48,5.234999999999996,22.11068909386869
EUMPER,8.806000000000003,-0.17,7.291,8.904,8.72,8.801,2.645,1.32,0.18399999999999928,32.450966945549304
EUMPER,8.59,1.99,8.908,8.709,8.505,8.618,3.447,7.27,0.20399999999999885,25.752132914234405
EUMPER,10.828,7.14,3.364,11.061,10.77,10.91,1.1840000000000002,12.24,0.2910000000000004,51.18906064209274
EUMPER,9.57,9.76,3.916,9.866,9.458,9.69,1.265,34.78,0.4079999999999995,41.98161389172624
EUMPER,8.091000000000001,8.12,3.511,8.264,8.036,8.19,0.918,12.5,0.22799999999999976,57.02079179720878
EUMPER,8.024,8.19,2.555,8.187999999999999,8.01,8.102,0.706,23.63,0.17799999999999905,65.40117416829743
EUMPER,9.169,0.69,13.81,9.3,9.075,9.174,6.187,6.67,0.22500000000000145,17.277335264301232
EUMPER,15.748,2.49,5.178,16.168,15.667,15.832,1.655,29.18,0.5009999999999994,43.33719582850521
EUMPER,8.452,1.37,6.997000000000001,8.556000000000001,8.389,8.482999999999999,2.805,8.07,0.1670000000000016,32.35672431041874
EUMPER,13.037,6.07,3.377,13.314,12.890999999999998,13.129,0.898,22.3,0.4230000000000018,48.97838318033757
EUMPER,8.072000000000001,4.43,2.884,8.185,8.019,8.116,0.718,16.63,0.16600000000000034,51.52565880721222
EUMPER,17.76,18.26,2.523,19.208,17.249000000000002,18.426,0.949,69.13,1.9589999999999959,54.89496630994847
EUMPER,19.278,17.06,4.492,20.661,18.539,20.278,0.983,32.36,2.1219999999999963,48.931433659839705
EUMPER,8.323,1.17,7.907,8.398,8.198,8.334,2.298,-5.59,0.1999999999999993,28.025799924117866
EUMPER,8.152999999999999,1.17,4.171,8.201,8.079,8.165,1.469,3.56,0.12199999999999987,45.57660033565092
EUMPER,8.767999999999999,4.07,4.617,8.886000000000003,8.676,8.825,1.294,-7.86,0.21000000000000085,42.32185401776045
EUMPER,8.829,2.86,4.231,8.935,8.731,8.857000000000003,1.725,9.84,0.20400000000000065,37.414322855117
EUMPER,9.486,0.97,8.336,9.617,9.418,9.511,3.092,1.39,0.1990000000000016,29.34261036468329
EUMPER,11.228,1.92,12.942,11.428,11.116,11.286,5.169,22.44,0.3119999999999994,36.601761706073255
EUMPER,12.651,10.27,4.258,12.969,12.486,12.754,1.01,43.0,0.4830000000000023,47.862846406763744
